"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.053416,-0.16144,0,1.5614,1,0.867,0.867,0.5,0
-0.052764,-0.16083,0,1.5597,1,0.868,0.868,0.5,0
-0.052112,-0.16022,0,1.558,1,0.869,0.869,0.5,0
-0.05146,-0.15961,0,1.5564,1,0.87,0.87,0.5,0
-0.050824,-0.15891,0,1.5542,1,0.871,0.871,0.5,0
-0.050189,-0.15821,0,1.5521,1,0.872,0.872,0.5,0
-0.049553,-0.15751,0,1.55,1,0.873,0.873,0.5,0
-0.048917,-0.15681,0,1.5479,1,0.874,0.874,0.5,0
-0.048282,-0.15611,0,1.5457,1,0.875,0.875,0.5,0
-0.047646,-0.15541,0,1.5436,1,0.876,0.876,0.5,0
-0.047011,-0.15471,0,1.5415,1,0.877,0.877,0.5,0
-0.046375,-0.15401,0,1.5394,1,0.878,0.878,0.5,0
-0.04574,-0.15331,0,1.5372,1,0.879,0.879,0.5,0
-0.045104,-0.15261,0,1.5351,1,0.88,0.88,0.5,0
-0.04449,-0.15182,0,1.5325,1,0.881,0.881,0.5,0
-0.043876,-0.15102,0,1.5299,1,0.882,0.882,0.5,0
-0.043262,-0.15023,0,1.5273,1,0.883,0.883,0.5,0
-0.042648,-0.14944,0,1.5247,1,0.884,0.884,0.5,0
-0.042033,-0.14865,0,1.5221,1,0.885,0.885,0.5,0
